	0.0 s	900995.0 s	1801990.0 s	2702985.0 s	3603980.0 s	4504975.0 s	5405970.0 s	6306965.0 s	7207960.0 s	8108955.0 s	9009950.0 s	9910945.0 s	10811940.0 s	11712935.0 s	12613930.0 s	13514925.0 s	14415920.0 s	15316915.0 s	16217910.0 s	17118905.0 s
73	5.460403604634536e-07	5.561601841929632e-08	4.309538140509338e-09	2.8013816045937873e-10	1.6130973170388688e-11	8.512000778873858e-13	4.210491575418001e-14	1.9836033339571507e-15	9.002801491059993e-17	3.969952254784867e-18	1.7117901302679018e-19	7.252504468735757e-21	3.030586515466539e-22	1.2526541706414402e-23	5.133213232030562e-25	2.0891821558512189e-26	8.456740153223123e-28	3.4084113260225567e-29	1.3690070178266293e-30	5.483621174692437e-32
74	2.7271649974799963e-07	2.2274976694456997e-08	1.3804683182359386e-09	7.170443769196547e-11	3.298153034943638e-12	1.3900970412963772e-13	5.4924531125672616e-15	2.0670414563049753e-16	7.49521813962267e-18	2.640944624514678e-19	9.100115861470628e-21	3.081480469856638e-22	1.029253077307341e-23	3.4009141556703203e-25	1.1142004981720446e-26	3.6257358189365964e-28	1.1735476689198463e-29	3.7822989590384257e-31	1.214899239319222e-32	3.891832533153167e-34
75	1.3561761486234698e-07	8.861991697523783e-09	4.384779680193372e-10	1.8170663019571974e-11	6.666506345397357e-13	2.2410861028935852e-14	7.062961623535749e-16	2.1203879391132085e-17	6.133974472150183e-19	1.7244730029152807e-20	4.741659562399881e-22	1.2813672071440734e-23	3.4159235094175682e-25	9.009293357867914e-27	2.356139577976579e-28	6.12077231822731e-30	1.58164668019285e-31	4.0699236510166484e-33	1.0437881233033266e-34	2.669839997621544e-36
76	6.720104508956005e-08	3.506429041402977e-09	1.383108189854136e-10	4.5669805203493526e-12	1.3348749983002886e-13	3.575054370645307e-15	8.976739629983591e-17	2.147300050964155e-18	4.950024209042264e-20	1.1090533286609935e-21	2.4305138543615745e-23	5.235417219754002e-25	1.1125787733556701e-26	2.339321068059342e-28	4.877583337380769e-30	1.0102743485965283e-31	2.081583206328332e-33	4.2711098807537425e-35	8.734809954849592e-37	1.7816695204349615e-38
77	3.3201750172868064e-08	1.3811181393185637e-09	4.3378055518355954e-11	1.1400747050273407e-12	2.6521583810624586e-14	5.653381894295374e-16	1.129907205027402e-17	2.151564810869618e-19	3.9486381472175925e-21	7.043855018353468e-23	1.2291678587519445e-24	2.108402530055002e-26	3.568229759030187e-28	5.9752904105573244e-30	9.923049753002633e-32	1.6370888156598562e-33	2.6868137675626083e-35	4.391484660656989e-37	7.154259328646741e-39	1.1624941168122952e-40
78	1.6363707595241742e-08	5.419329682458618e-10	1.3538949690726713e-11	2.829754071706792e-13	5.234900365450968e-15	8.874375142720855e-17	1.4106907338245187e-18	2.1367083895338437e-20	3.1194732589306963e-22	4.427168756505484e-24	6.146725229809226e-26	8.389471826244395e-28	1.1298228432937004e-29	1.5056276321621349e-31	1.9898767890548668e-33	2.6127287123822384e-35	3.412846510526625e-37	4.439780247018011e-39	5.757016899176557e-41	7.445885943523408e-43
79	8.048170659134568e-09	2.1195458158514134e-10	4.208127374016934e-12	6.988965766091528e-14	1.027435450437519e-15	1.3842328828165329e-17	1.7489490958331e-19	2.1057765654643367e-21	2.444072727695625e-23	2.757810866555489e-25	3.0445485153887832e-27	3.3043436201113826e-29	3.5388257646326814e-31	3.750488008527591e-33	3.9421910140334525e-35	4.116841210371817e-37	4.27719874121549e-39	4.425775785954738e-41	4.5647942250275225e-43	4.6961800039634403e-45
80	3.951119794205127e-09	8.265739335820653e-11	1.303088434494274e-12	1.7184990152288664e-14	2.0062917121320124e-16	2.14691260398818e-18	2.154811736907342e-20	2.0612344113641035e-22	1.9009104701426045e-24	1.704462772067928e-26	1.495403983282432e-28	1.2899271227552715e-30	1.0980207299730232e-32	9.249824692106967e-35	7.728535453246821e-37	6.415845761437852e-39	5.298993007614895e-41	4.358922031155342e-43	3.5741803442040924e-45	2.9233025109982025e-47
81	1.936517234192156e-09	3.214791613440509e-11	4.0210847808532544e-13	4.207994304049369e-15	3.8990795715882506e-17	3.3121517327949452e-19	2.6394330374480362e-21	2.004941785636471e-23	1.4684761950746054e-25	1.0458575929953124e-27	7.288942485670758e-30	4.994898271548982e-32	3.3779746096286776e-34	2.260933748880294e-36	1.500998133359822e-38	9.901072435731948e-41	6.4980191837283255e-43	4.247541723582018e-45	2.7676779097866233e-47	1.798876535682188e-49
82	9.476129823449628e-10	1.2470401820099624e-11	1.2365557766051483e-13	1.026135349850426e-15	7.541816295239666e-18	5.0830310248824396e-20	3.214553477944132e-22	1.9381733616678137e-24	1.1269591600527261e-26	6.372677316926145e-29	3.5267095052470005e-31	1.9192296048293378e-33	1.0308232183998823e-35	5.479864834963142e-38	2.8896038390688403e-40	1.5140303485897613e-42	7.89300456237998e-45	4.0984555182688035e-47	2.1214330661407725e-49	1.0953541802344007e-51
83	4.629551443216406e-10	4.824153437987519e-12	3.788901406991226e-14	2.491413358089572e-16	1.4515501339778298e-18	7.757899826690394e-21	3.891647833296018e-23	1.861663804179102e-25	8.590098477510178e-28	3.8553442711224196e-30	1.6936327446090424e-32	7.316969992760905e-35	3.120190788235173e-37	1.3170134560820963e-39	5.514512577785947e-42	2.2944164584590865e-44	9.498727886474465e-47	3.9168977092671195e-49	1.6101310266601925e-51	6.602452052905056e-54
84	2.257832158424755e-10	1.8606209176315607e-12	1.156306824764169e-14	6.019919735198649e-17	2.778402583815578e-19	1.1768513960882116e-21	4.680441285744178e-24	1.7756689505187278e-26	6.499398790424787e-29	2.314402750712808e-31	8.067994212914207e-34	2.7663336537474943e-36	9.363255945634423e-39	3.1372211947401804e-41	1.0427996559103131e-43	3.444520170077676e-46	1.1321499858510704e-48	3.7066225374938464e-51	1.2097831625426397e-53	3.938872332254797e-56
85	1.0989721444040294e-10	7.151373627837354e-13	3.5124684252661636e-15	1.446432154646843e-17	5.284197015897417e-20	1.7727050578673403e-22	5.58649917092069e-25	1.6800425002162582e-27	4.87608666104821e-30	1.3771628793731594e-32	3.8084383493688314e-35	1.0360735091962045e-37	2.782745302197553e-40	7.399410062697474e-43	1.952064648930273e-45	5.117905577353868e-48	1.3352447393247497e-50	3.4701418214820414e-53	8.990901911736484e-56	2.3238412435055e-58
86	5.33657436321828e-11	2.7372370727402157e-13	1.0610002904063095e-15	3.451957191726285e-18	9.972757404086171e-21	2.647715598877116e-23	6.607527798606732e-26	1.5743352841300674e-28	3.6215694286593737e-31	8.10952952116011e-34	1.778489538978681e-36	3.8377451602117675e-39	8.177297739411585e-42	1.7252015802574287e-44	3.611501285401073e-47	7.514016926515793e-50	1.5558060774102597e-52	3.2090698438678737e-55	6.599190720021298e-58	1.3538290628855045e-60
87	2.5839474901690766e-11	1.04230417033525e-13	3.182703182593802e-16	8.169355260296786e-19	1.864266765365644e-21	3.9134620321303736e-24	7.728005438823961e-27	1.457931126322893e-29	2.6568396558963274e-32	4.7148307415640944e-35	8.197125558466494e-38	1.4026071646998435e-40	2.370319253431769e-43	3.9668306567344675e-46	6.5880041964799065e-49	1.0875388024736303e-51	1.786774684977448e-54	2.924578704335143e-57	4.7727317199817935e-60	7.770522397293079e-63
88	1.2465711630986953e-11	3.943071803271016e-14	9.463374865922903e-17	1.9129231194899348e-19	3.44324043722985e-22	5.708500370804851e-25	8.91188511954913e-28	1.3302395010377083e-30	1.9192271316161845e-33	2.6978371544890643e-36	3.7168484842024195e-39	5.0414101618543934e-42	6.755166166949517e-45	8.965487243580303e-48	1.181013802126729e-50	1.546579541059523e-53	2.0158946993445166e-56	2.6179843346236632e-59	3.3900365062922112e-62	4.379690522143661e-65
89	5.985455699887059e-12	1.4791214162940844e-14	2.78200759087601e-17	4.41850758396971e-20	6.261980393007194e-23	8.187437132295317e-26	1.009354422542487e-28	1.190969267788309e-31	1.3594044240198038e-34	1.512762532469587e-37	1.6507654676299423e-40	1.7741676160518535e-43	1.8843033919823813e-46	1.9827685514067952e-49	2.071212510647158e-52	2.151213760808939e-55	2.224213167378963e-58	2.2914852390776506e-61	2.354132845503623e-64	2.4130953867976334e-67
90	2.856087796717921e-12	5.487238271977843e-15	8.05772282857953e-18	1.002581412561504e-20	1.1161540710512358e-23	1.1488352094244395e-26	1.1168178688828827e-29	1.0405061716504998e-32	9.387567106270487e-36	8.26408195869081e-39	7.138594206213854e-42	6.076452959377015e-45	5.1134313955338417e-48	4.2646238109452774e-51	3.5317685826766714e-54	2.9086982006691644e-57	2.3851151171819248e-60	1.949053017044194e-63	1.5883840021208533e-66	1.291671696048774e-69
91	1.3514917858718714e-12	2.0057440523014273e-15	2.2882073657367738e-18	2.221984263547809e-21	1.937457945707765e-24	1.5662568045239366e-27	1.1984829110980005e-30	8.8040240547464e-34	6.271341745456976e-37	4.3634756274188945e-40	2.981560915695085e-43	2.0089099726958908e-46	1.3388392671530572e-49	8.846703942535755e-53	5.806568667745696e-56	3.791096997011677e-59	2.464924001944416e-62	1.597410019829131e-65	1.032530339190762e-68	6.660371524142032e-72
92	6.322320891112223e-13	7.185643724820389e-16	6.327243953648939e-19	4.771340831916898e-22	3.246082883863744e-25	2.05495590595835e-28	1.2348502280468824e-31	7.139474641985298e-35	4.0095812260038146e-38	2.2024895096364758e-41	1.1894088284848863e-44	6.338978706652103e-48	3.343849959255692e-51	1.7497944889328246e-54	9.098973395574472e-58	4.7081199677468536e-61	2.4266593733714677e-64	1.2469061809390159e-67	6.391505481117744e-71	3.269926354369491e-74
93	2.910295374498803e-13	2.503360016018572e-16	1.6865754522916155e-19	9.812107601450568e-23	5.182547639911386e-26	2.5593854180079373e-29	1.2042147418149203e-32	5.46709851645055e-36	2.416346891647483e-39	1.046407070479595e-42	4.461058501182086e-46	1.878937662299582e-49	7.839592061371904e-53	3.2469607882116583e-56	1.3370711800208943e-59	5.481036416325517e-63	2.2388250370050733e-66	9.119155184457145e-70	3.706152237736494e-73	1.5035866382044122e-76
94	1.3085762678997555e-13	8.379095155717678e-17	4.268109807365213e-20	1.8989302259571947e-23	7.735600388763502e-27	2.9652821953306565e-30	1.088244229528961e-33	3.868062538886937e-37	1.3423452919880423e-40	4.574558036904015e-44	1.5374158199343682e-47	5.111723306160733e-51	1.6854607725361148e-54	5.521300939046982e-58	1.7994884058565813e-61	5.841402142523892e-65	1.8902361370358273e-68	6.101486543651035e-72	1.9656363224919877e-75	6.322623173042194e-79
95	5.676000254942642e-14	2.6414315374758135e-17	1.0004547983110315e-20	3.3635031928426936e-24	1.0475126598697096e-27	3.0963466489068793e-31	8.819230829822787e-35	2.4448221904825133e-38	6.64201570530391e-42	1.777165192595029e-45	4.699946635440013e-49	1.2318467154275244e-52	3.2062307123605425e-56	8.29993716418713e-60	2.1394887495968775e-63	5.496643683217911e-67	1.4084666241937481e-70	3.601623731104228e-74	9.194796486105884e-78	2.3443722319119793e-81
96	2.3196937651341466e-14	7.564181237917887e-18	2.0795716409139225e-21	5.195596348294038e-25	1.2223130676620447e-28	2.7616373819255307e-32	6.064657633957146e-36	1.3046708451412389e-39	2.7642110046346067e-43	5.789703612410408e-47	1.2021116674479853e-50	2.479221608535333e-54	5.0866002731959566e-58	1.0393999945106183e-61	2.1172144081562467e-65	4.302002822227619e-69	8.724301802565053e-73	1.7665444363672642e-76	3.572671410946194e-80	7.218495437267715e-84
97	8.470152751011828e-15	1.8223219442106193e-18	3.5056917875917005e-22	6.353617181527489e-26	1.1104232786872976e-29	1.894794416756884e-33	3.18006172672467e-37	5.27407616564451e-41	8.670888129118666e-45	1.4162586556660053e-48	2.3018107002052114e-52	3.726905467332274e-56	6.016652047317639e-60	9.69110982887686e-64	1.5581938160203736e-67	2.5018777049615935e-71	4.0127024973850736e-75	6.430357162078124e-79	1.0297680448094961e-82	1.6482072061268872e-86
98	2.331717073973807e-15	2.9551468933829906e-19	3.74526277606579e-23	4.7466314764902324e-27	6.01573553599222e-31	7.624159199685463e-35	9.662626150097376e-39	1.2246116807266762e-42	1.5520353838351714e-46	1.967002169411788e-50	2.4929183798051762e-54	3.159448497318582e-58	4.0041883794000335e-62	5.074785865738875e-66	6.4316283708315e-70	8.151249056586922e-74	1.0330643711293795e-77	1.3092741829971834e-81	1.6593340494251334e-85	2.102989215962822e-89
